Symbol,DATE,CLOSE
NATURALGAS,10 Sep 19,184.7
CRUDEOIL,10 Sep 19,4109
GOLD,11 Sep 19,37902
SILVER,11 Sep 19,46814
NATURALGAS,11 Sep 19,182.9
ALUMINIUM,11 Sep 19,145.95
CRUDEOIL,11 Sep 19,3995
ZINC,11 Sep 19,190.2
NICKEL,11 Sep 19,1317
COPPER,11 Sep 19,448.5
LEAD,11 Sep 19,157.95
COTTON,11 Sep 19,19970
GOLD,12 Sep 19,37669
SILVER,12 Sep 19,46601
NATURALGAS,12 Sep 19,183.6
ALUMINIUM,12 Sep 19,145.3
CRUDEOIL,12 Sep 19,3929
ZINC,12 Sep 19,190.55
NICKEL,12 Sep 19,1321.7
COPPER,12 Sep 19,449.1
LEAD,12 Sep 19,156.5
COTTON,12 Sep 19,20030
GOLD,13 Sep 19,37592
SILVER,13 Sep 19,46250
NATURALGAS,13 Sep 19,185.4
ALUMINIUM,13 Sep 19,144.55
CRUDEOIL,13 Sep 19,3891
ZINC,13 Sep 19,187.7
NICKEL,13 Sep 19,1298.3
COPPER,13 Sep 19,448.5
LEAD,13 Sep 19,159
COTTON,13 Sep 19,20120
GOLD,16 Sep 19,37780
SILVER,16 Sep 19,45859
NATURALGAS,16 Sep 19,191.8
ALUMINIUM,16 Sep 19,144.35
CRUDEOIL,16 Sep 19,4500
ZINC,16 Sep 19,190.65
NICKEL,16 Sep 19,1283
COPPER,16 Sep 19,451.2
LEAD,16 Sep 19,160
COTTON,16 Sep 19,20170
GOLD,17 Sep 19,37855
SILVER,17 Sep 19,46114
NATURALGAS,17 Sep 19,191.6
ALUMINIUM,17 Sep 19,144
CRUDEOIL,17 Sep 19,4262
ZINC,17 Sep 19,188
NICKEL,17 Sep 19,1270.6
COPPER,17 Sep 19,449.5
LEAD,17 Sep 19,159.5
COTTON,17 Sep 19,20240
GOLD,18 Sep 19,37542
SILVER,18 Sep 19,45709
NATURALGAS,18 Sep 19,188.1
ALUMINIUM,18 Sep 19,143.75
CRUDEOIL,18 Sep 19,4144
ZINC,18 Sep 19,188.25
NICKEL,18 Sep 19,1271.3
COPPER,18 Sep 19,445.6
LEAD,18 Sep 19,157.85
COTTON,18 Sep 19,20200
GOLD,19 Sep 19,37456
SILVER,19 Sep 19,45455
NATURALGAS,19 Sep 19,180.5
ALUMINIUM,19 Sep 19,142.05
CRUDEOIL,19 Sep 19,4135
ZINC,19 Sep 19,186.2
NICKEL,19 Sep 19,1264.3
COPPER,19 Sep 19,442.7
LEAD,19 Sep 19,159.8
COTTON,19 Sep 19,20160
GOLD,20 Sep 19,37390
SILVER,20 Sep 19,45686
NATURALGAS,20 Sep 19,179.8
ALUMINIUM,20 Sep 19,143.25
CRUDEOIL,20 Sep 19,4121
ZINC,20 Sep 19,186.6
NICKEL,20 Sep 19,1293.9
COPPER,20 Sep 19,446.3
LEAD,20 Sep 19,159.5
COTTON,20 Sep 19,20040
GOLD,23 Sep 19,37743
SILVER,23 Sep 19,46800
NATURALGAS,23 Sep 19,179.2
ALUMINIUM,23 Sep 19,143.05
CRUDEOIL,23 Sep 19,4159
ZINC,23 Sep 19,185.4
NICKEL,23 Sep 19,1297.4
COPPER,23 Sep 19,439.6
LEAD,23 Sep 19,157.95
COTTON,23 Sep 19,20000
GOLD,24 Sep 19,37771
SILVER,24 Sep 19,47352
NATURALGAS,24 Sep 19,177.3
ALUMINIUM,24 Sep 19,142.05
CRUDEOIL,24 Sep 19,4059
ZINC,24 Sep 19,185.4
NICKEL,24 Sep 19,1266.9
COPPER,24 Sep 19,441.85
LEAD,24 Sep 19,158
COTTON,24 Sep 19,19910
GOLD,25 Sep 19,38006
SILVER,25 Sep 19,47375
NATURALGAS,25 Sep 19,177.7
ALUMINIUM,25 Sep 19,142.2
CRUDEOIL,25 Sep 19,4013
ZINC,25 Sep 19,183
NICKEL,25 Sep 19,1268.6
COPPER,25 Sep 19,440.2
LEAD,25 Sep 19,158
COTTON,25 Sep 19,19790
GOLD,26 Sep 19,37622
SILVER,26 Sep 19,45869
NATURALGAS,26 Sep 19,173.2
ALUMINIUM,26 Sep 19,141.35
CRUDEOIL,26 Sep 19,4000
ZINC,26 Sep 19,185
NICKEL,26 Sep 19,1263.7
COPPER,26 Sep 19,439.3
LEAD,26 Sep 19,159
COTTON,26 Sep 19,19750
GOLD,27 Sep 19,37481
SILVER,27 Sep 19,44604
NATURALGAS,27 Sep 19,170.3
ALUMINIUM,27 Sep 19,140.5
CRUDEOIL,27 Sep 19,3961
ZINC,27 Sep 19,186.7
NICKEL,27 Sep 19,1272
COPPER,27 Sep 19,438.7
LEAD,27 Sep 19,159
COTTON,27 Sep 19,19660
GOLD,30 Sep 19,37475
SILVER,30 Sep 19,44190
NATURALGAS,30 Sep 19,164.7
ALUMINIUM,30 Sep 19,138.4
CRUDEOIL,30 Sep 19,3822
ZINC,30 Sep 19,184.8
NICKEL,30 Sep 19,1271.6
COPPER,30 Sep 19,440.6
LEAD,30 Sep 19,157.8
COTTON,30 Sep 19,19910
GOLD,1 Oct 19,37201
SILVER,1 Oct 19,44139
ALUMINIUM,1 Oct 19,139.6
ZINC,1 Oct 19,189.5
NICKEL,1 Oct 19,1258.2
COPPER,1 Oct 19,436
LEAD,1 Oct 19,156.5
COTTON,1 Oct 19,19780
GOLD,3 Oct 19,37919
SILVER,3 Oct 19,45135
NATURALGAS,3 Oct 19,165.6
ALUMINIUM,3 Oct 19,138.35
CRUDEOIL,3 Oct 19,3730
ZINC,3 Oct 19,185.45
NICKEL,3 Oct 19,1297.9
COPPER,3 Oct 19,434.1
LEAD,3 Oct 19,160
COTTON,3 Oct 19,19850
GOLD,4 Oct 19,38151
SILVER,4 Oct 19,45086
NATURALGAS,4 Oct 19,166.7
ALUMINIUM,4 Oct 19,138.65
CRUDEOIL,4 Oct 19,3743
ZINC,4 Oct 19,184.9
NICKEL,4 Oct 19,1308.8
COPPER,4 Oct 19,434.5
LEAD,4 Oct 19,162.15
COTTON,4 Oct 19,19780
GOLD,7 Oct 19,38043
SILVER,7 Oct 19,44815
NATURALGAS,7 Oct 19,163.5
ALUMINIUM,7 Oct 19,139.5
CRUDEOIL,7 Oct 19,3744
ZINC,7 Oct 19,184.9
NICKEL,7 Oct 19,1298.2
COPPER,7 Oct 19,436.75
LEAD,7 Oct 19,161.5
COTTON,7 Oct 19,19650
NATURALGAS,8 Oct 19,162.4
CRUDEOIL,8 Oct 19,3735
GOLD,9 Oct 19,38179
SILVER,9 Oct 19,45682
NATURALGAS,9 Oct 19,158.9
ALUMINIUM,9 Oct 19,138.75
CRUDEOIL,9 Oct 19,3740
ZINC,9 Oct 19,185.15
NICKEL,9 Oct 19,1294.8
COPPER,9 Oct 19,439.1
LEAD,9 Oct 19,157.5
COTTON,9 Oct 19,19640
GOLD,10 Oct 19,38361
SILVER,10 Oct 19,45727
NATURALGAS,10 Oct 19,157.6
ALUMINIUM,10 Oct 19,139.85
CRUDEOIL,10 Oct 19,3805
ZINC,10 Oct 19,185.1
NICKEL,10 Oct 19,1289.4
COPPER,10 Oct 19,441.5
LEAD,10 Oct 19,157
COTTON,10 Oct 19,19430
GOLD,11 Oct 19,38154
SILVER,11 Oct 19,45257
NATURALGAS,11 Oct 19,157.3
ALUMINIUM,11 Oct 19,141.4
CRUDEOIL,11 Oct 19,3885
ZINC,11 Oct 19,187.25
NICKEL,11 Oct 19,1292.5
COPPER,11 Oct 19,442.5
LEAD,11 Oct 19,159.4
COTTON,11 Oct 19,19590
GOLD,14 Oct 19,38386
SILVER,14 Oct 19,45424
NATURALGAS,14 Oct 19,161.9
ALUMINIUM,14 Oct 19,140.75
CRUDEOIL,14 Oct 19,3806
ZINC,14 Oct 19,191.6
NICKEL,14 Oct 19,1278.8
COPPER,14 Oct 19,439
LEAD,14 Oct 19,159
COTTON,14 Oct 19,19560
GOLD,15 Oct 19,38534
SILVER,15 Oct 19,45798
NATURALGAS,15 Oct 19,166.8
ALUMINIUM,15 Oct 19,137.55
CRUDEOIL,15 Oct 19,3766
ZINC,15 Oct 19,189.65
NICKEL,15 Oct 19,1265.6
COPPER,15 Oct 19,440.5
LEAD,15 Oct 19,159.65
COTTON,15 Oct 19,19380
GOLD,16 Oct 19,38203
SILVER,16 Oct 19,44804
NATURALGAS,16 Oct 19,164.7
ALUMINIUM,16 Oct 19,137
CRUDEOIL,16 Oct 19,3816
ZINC,16 Oct 19,188
NICKEL,16 Oct 19,1261
COPPER,16 Oct 19,438.65
LEAD,16 Oct 19,160.5
COTTON,16 Oct 19,19380
GOLD,17 Oct 19,38227
SILVER,17 Oct 19,45144
NATURALGAS,17 Oct 19,165.5
ALUMINIUM,17 Oct 19,138.15
CRUDEOIL,17 Oct 19,3851
ZINC,17 Oct 19,189.6
NICKEL,17 Oct 19,1208.3
COPPER,17 Oct 19,440
LEAD,17 Oct 19,160.5
COTTON,17 Oct 19,19470
GOLD,18 Oct 19,38241
SILVER,18 Oct 19,45203
NATURALGAS,18 Oct 19,165.2
ALUMINIUM,18 Oct 19,139.15
CRUDEOIL,18 Oct 19,3829
ZINC,18 Oct 19,188.8
NICKEL,18 Oct 19,1214.3
COPPER,18 Oct 19,439
LEAD,18 Oct 19,161.5
COTTON,18 Oct 19,19290
NATURALGAS,21 Oct 19,159.3
CRUDEOIL,21 Oct 19,3796
GOLD,22 Oct 19,38173
SILVER,22 Oct 19,45534
NATURALGAS,22 Oct 19,161
ALUMINIUM,22 Oct 19,138.05
CRUDEOIL,22 Oct 19,3861
ZINC,22 Oct 19,189.85
NICKEL,22 Oct 19,1190
COPPER,22 Oct 19,441.85
LEAD,22 Oct 19,164
COTTON,22 Oct 19,18940
GOLD,23 Oct 19,38295
SILVER,23 Oct 19,45464
NATURALGAS,23 Oct 19,161.9
ALUMINIUM,23 Oct 19,137.4
CRUDEOIL,23 Oct 19,3970
ZINC,23 Oct 19,188.6
NICKEL,23 Oct 19,1215
COPPER,23 Oct 19,440.15
LEAD,23 Oct 19,162.75
COTTON,23 Oct 19,19040
GOLD,24 Oct 19,38281
SILVER,24 Oct 19,45444
NATURALGAS,24 Oct 19,164.3
ALUMINIUM,24 Oct 19,138.95
CRUDEOIL,24 Oct 19,3989
ZINC,24 Oct 19,192.5
NICKEL,24 Oct 19,1227.6
COPPER,24 Oct 19,442
LEAD,24 Oct 19,164
COTTON,24 Oct 19,19020
GOLD,25 Oct 19,38630
SILVER,25 Oct 19,46820
NATURALGAS,25 Oct 19,163.2
ALUMINIUM,25 Oct 19,139.75
CRUDEOIL,25 Oct 19,4021
ZINC,25 Oct 19,191.85
NICKEL,25 Oct 19,1241
COPPER,25 Oct 19,442.65
LEAD,25 Oct 19,160.9
COTTON,25 Oct 19,18940
GOLD,27 Oct 19,38630
SILVER,27 Oct 19,46820
NATURALGAS,27 Oct 19,163.2
ALUMINIUM,27 Oct 19,139.75
CRUDEOIL,27 Oct 19,4021
ZINC,27 Oct 19,191.85
NICKEL,27 Oct 19,1241
COPPER,27 Oct 19,442.65
LEAD,27 Oct 19,160.9
COTTON,27 Oct 19,18940
NATURALGAS,28 Oct 19,181.3
CRUDEOIL,28 Oct 19,3960
GOLD,29 Oct 19,38630
SILVER,29 Oct 19,46820
NATURALGAS,29 Oct 19,186.7
ALUMINIUM,29 Oct 19,139.75
CRUDEOIL,29 Oct 19,3928
ZINC,29 Oct 19,191.85
NICKEL,29 Oct 19,1241
COPPER,29 Oct 19,442.65
LEAD,29 Oct 19,160.9
COTTON,29 Oct 19,18940
GOLD,30 Oct 19,38630
SILVER,30 Oct 19,46820
NATURALGAS,30 Oct 19,191
ALUMINIUM,30 Oct 19,138.5
CRUDEOIL,30 Oct 19,3909
ZINC,30 Oct 19,198.75
NICKEL,30 Oct 19,1241.3
COPPER,30 Oct 19,449.65
LEAD,30 Oct 19,163.7
COTTON,30 Oct 19,18900
GOLD,31 Oct 19,38650
SILVER,31 Oct 19,46749
NATURALGAS,31 Oct 19,186.4
ALUMINIUM,31 Oct 19,139.35
CRUDEOIL,31 Oct 19,3836
ZINC,31 Oct 19,196.9
NICKEL,31 Oct 19,1230
COPPER,31 Oct 19,446.4
LEAD,31 Oct 19,162.3
COTTON,31 Oct 19,18920
GOLD,1 Nov 19,38703
SILVER,1 Nov 19,46736
NATURALGAS,1 Nov 19,192.4
ALUMINIUM,1 Nov 19,140.3
CRUDEOIL,1 Nov 19,3983
ZINC,1 Nov 19,194.4
NICKEL,1 Nov 19,1228.3
COPPER,1 Nov 19,440.5
LEAD,1 Nov 19,161.7
COTTON,1 Nov 19,18850
GOLD,4 Nov 19,38692
SILVER,4 Nov 19,46758
NATURALGAS,4 Nov 19,199.4
ALUMINIUM,4 Nov 19,142.7
CRUDEOIL,4 Nov 19,3996
ZINC,4 Nov 19,199.45
NICKEL,4 Nov 19,1218.7
COPPER,4 Nov 19,449
LEAD,4 Nov 19,163
COTTON,4 Nov 19,19010
GOLD,5 Nov 19,38565
SILVER,5 Nov 19,46503
NATURALGAS,5 Nov 19,202.4
ALUMINIUM,5 Nov 19,141.3
CRUDEOIL,5 Nov 19,4048
ZINC,5 Nov 19,196.55
NICKEL,5 Nov 19,1202.5
COPPER,5 Nov 19,443.5
LEAD,5 Nov 19,163.75
COTTON,5 Nov 19,18990
GOLD,6 Nov 19,38304
SILVER,6 Nov 19,45540
NATURALGAS,6 Nov 19,200.5
ALUMINIUM,6 Nov 19,143.45
CRUDEOIL,6 Nov 19,3994
ZINC,6 Nov 19,198.5
NICKEL,6 Nov 19,1204.6
COPPER,6 Nov 19,445.35
LEAD,6 Nov 19,161.6
COTTON,6 Nov 19,19010
GOLD,7 Nov 19,38180
SILVER,7 Nov 19,45358
NATURALGAS,7 Nov 19,196.8
ALUMINIUM,7 Nov 19,143.05
CRUDEOIL,7 Nov 19,4058
ZINC,7 Nov 19,196.3
NICKEL,7 Nov 19,1208.2
COPPER,7 Nov 19,448.5
